Model unknown

  Variables:
    shifts_facing_wall : Size=1150, Index=shifts_facing_wall_index
        Key      : Lower : Value                   : Upper : Fixed : Stale : Domain
          (6, 4) :   -50 :       1.702074373642611 :    50 : False : False :  Reals
          (6, 5) :   -50 :      1.7349546080132752 :    50 : False : False :  Reals
          (6, 6) :   -50 :      1.7660477184562484 :    50 : False : False :  Reals
          (6, 7) :   -50 :      1.7949992160910302 :    50 : False : False :  Reals
          (6, 8) :   -50 :      1.8214959947398979 :    50 : False : False :  Reals
          (6, 9) :   -50 :      1.8452861143237214 :    50 : False : False :  Reals
         (6, 10) :   -50 :      1.8661955735441447 :    50 : False : False :  Reals
         (6, 11) :   -50 :      1.8841403897185651 :    50 : False : False :  Reals
         (6, 12) :   -50 :      1.8991328181732998 :    50 : False : False :  Reals
         (6, 13) :   -50 :      1.9112810878044075 :    50 : False : False :  Reals
         (6, 14) :   -50 :      1.9207825728562724 :    50 : False : False :  Reals
         (6, 15) :   -50 :      1.9279108334804917 :    50 : False : False :  Reals
         (6, 16) :   -50 :       1.932997411290348 :    50 : False : False :  Reals
         (6, 17) :   -50 :      1.9364096369213986 :    50 : False : False :  Reals
         (6, 18) :   -50 :      1.9385259758273798 :    50 : False : False :  Reals
         (6, 19) :   -50 :       1.939710593683473 :    50 : False : False :  Reals
         (6, 20) :   -50 :      1.9402888798052484 :    50 : False : False :  Reals
         (6, 21) :   -50 :      1.9405255870581086 :    50 : False : False :  Reals
         (6, 22) :   -50 :      1.9406070591279228 :    50 : False : False :  Reals
         (6, 23) :   -50 :      1.9406287344835143 :    50 : False : False :  Reals
         (6, 24) :   -50 :      1.9405887597666502 :    50 : False : False :  Reals
         (6, 25) :   -50 :       1.940388136609093 :    50 : False : False :  Reals
         (6, 26) :   -50 :      1.9398373906759447 :    50 : False : False :  Reals
         (6, 27) :   -50 :      1.9386693171423943 :    50 : False : False :  Reals
         (6, 28) :   -50 :      1.9365569498848298 :    50 : False : False :  Reals
         (6, 29) :   -50 :      1.9331355480458374 :    50 : False : False :  Reals
         (6, 30) :   -50 :      1.9280271161780596 :    50 : False : False :  Reals
         (6, 31) :   -50 :      1.9208657916904384 :    50 : False : False :  Reals
         (6, 32) :   -50 :      1.9113223812525237 :    50 : False : False :  Reals
         (6, 33) :   -50 :      1.8991263710704116 :    50 : False : False :  Reals
         (6, 34) :   -50 :      1.8840838973471137 :    50 : False : False :  Reals
         (6, 35) :   -50 :      1.8660904370174283 :    50 : False : False :  Reals
         (6, 36) :   -50 :      1.8451373525257462 :    50 : False : False :  Reals
         (6, 37) :   -50 :      1.8213118793040108 :    50 : False : False :  Reals
         (6, 38) :   -50 :      1.7947906567522143 :    50 : False : False :  Reals
         (6, 39) :   -50 :       1.765827445065849 :    50 : False : False :  Reals
         (6, 40) :   -50 :       1.734736211129691 :    50 : False : False :  Reals
         (6, 41) :   -50 :       1.701871276589122 :    50 : False : False :  Reals
         (6, 42) :   -50 :      1.6676066716423468 :    50 : False : False :  Reals
         (6, 43) :   -50 :      1.6323172045522407 :    50 : False : False :  Reals
         (6, 44) :   -50 :      1.5963640208783085 :    50 : False : False :  Reals
         (6, 45) :   -50 :      1.5600875995794536 :    50 : False : False :  Reals
          (7, 0) :   -50 :      1.7290924870707636 :    50 : False : False :  Reals
          (7, 1) :   -50 :      1.7667634196438775 :    50 : False : False :  Reals
          (7, 2) :   -50 :      1.8041452124595883 :    50 : False : False :  Reals
          (7, 3) :   -50 :      1.8409293484301492 :    50 : False : False :  Reals
          (7, 4) :   -50 :       1.876783431233932 :    50 : False : False :  Reals
          (7, 5) :   -50 :      1.9113568177324343 :    50 : False : False :  Reals
          (7, 6) :   -50 :      1.9442935939432047 :    50 : False : False :  Reals
          (7, 7) :   -50 :      1.9752501377969043 :    50 : False : False :  Reals
          (7, 8) :   -50 :       2.003914640546811 :    50 : False : False :  Reals
          (7, 9) :   -50 :      2.0300261897533214 :    50 : False : False :  Reals
         (7, 10) :   -50 :      2.0533913460986715 :    50 : False : False :  Reals
         (7, 11) :   -50 :      2.0738965598062307 :    50 : False : False :  Reals
         (7, 12) :   -50 :      2.0915152483607398 :    50 : False : False :  Reals
         (7, 13) :   -50 :      2.1063088685830293 :    50 : False : False :  Reals
         (7, 14) :   -50 :      2.1184218332821967 :    50 : False : False :  Reals
         (7, 15) :   -50 :       2.128070615826247 :    50 : False : False :  Reals
         (7, 16) :   -50 :       2.135527827109298 :    50 : False : False :  Reals
         (7, 17) :   -50 :       2.141102414380349 :    50 : False : False :  Reals
         (7, 18) :   -50 :      2.1451174012042125 :    50 : False : False :  Reals
         (7, 19) :   -50 :       2.147886749380881 :    50 : False : False :  Reals
         (7, 20) :   -50 :      2.1496929714428563 :    50 : False : False :  Reals
         (7, 21) :   -50 :      2.1507670568968216 :    50 : False : False :  Reals
         (7, 22) :   -50 :      2.1512721045644887 :    50 : False : False :  Reals
         (7, 23) :   -50 :      2.1512917903135045 :    50 : False : False :  Reals
         (7, 24) :   -50 :       2.150824462629179 :    50 : False : False :  Reals
